Sr No.,Benchmark,Kernel Name,grid_size,block_size,Total Threads,reg_thread,shmem_block,comp_inst_kernel,comp_inst_sim,comp_lat_sim,avg_comp_lat,glob_inst_kernel,glob_inst_sim,glob_lat_sim,avg_glob_lat,shar_inst_kernel,shar_inst_sim,shar_lat_sim,avg_shar_lat,misc_inst_kernel,misc_inst_sim,misc_lat_sim,avg_misc_lat,total_inst,branch,glob_load_sim,glob_store_sim,inst_issue_cycles,sm_active,waves,occupancy,wtotal,Global_Throughput,cache_penalty,sh_penalty,sh_throughput,n_warps,glb_penalty,Power
249,basic,vecoddmult,10240,16,163840,17,0,54,140,2044,14.6,31,56,18777,335.3035714,0,0,0,0,0,462,4620,10,658,5,30,10,1645,16,788,0.25,6,3961.7833,1564.75,0,0,320,6023.6567,91.217
241,basic,vecoddmult,256,1024,262144,17,0,54,200,2920,14.6,31,80,28145,351.8125,0,0,0,0,0,660,6600,10,940,10,20,20,3760,1024,20,1,9,4347.2897,2501.7778,0,0,8,12559.358,122.64322
233,basic,vecoddmult,512,512,262144,17,0,54,200,2920,14.6,31,80,28145,351.8125,0,0,0,0,0,660,6600,10,940,10,20,20,3760,512,40,1,9,4347.2897,2501.7778,0,0,16,12559.358,127.41226
225,basic,vecoddmult,1024,256,262144,17,0,54,200,2920,14.6,31,80,28145,351.8125,0,0,0,0,0,660,6600,10,940,10,20,20,3760,256,79,1,9,4347.2897,2501.7778,0,0,32,12559.358,129.28946
274,basic,vecoddmult,1280,256,327680,17,0,54,260,3796,14.6,31,104,37733,362.8173077,0,0,0,0,0,858,8580,10,1222,13,78,26,6110,256,99,1,10,4730.8266,3773.3,0,0,40,18736.5317,131.30484
266,basic,vecoddmult,2560,128,327680,17,0,54,260,3796,14.6,31,104,37733,362.8173077,0,0,0,0,0,858,8580,10,1222,13,78,26,6110,128,197,1,10,4730.8266,3773.3,0,0,80,18736.5317,132.55284
258,basic,vecoddmult,5120,64,327680,17,0,54,260,3796,14.6,31,104,37733,362.8173077,0,0,0,0,0,858,8580,10,1222,13,78,26,6110,64,394,0.5,10,4730.8266,3773.3,0,0,160,18736.5317,119.204
250,basic,vecoddmult,10240,32,327680,17,0,54,260,3796,14.6,31,104,37733,362.8173077,0,0,0,0,0,858,8580,10,1222,13,78,26,6110,32,788,0.25,10,4730.8266,3773.3,0,0,320,18736.5317,99.13749
234,basic,vecoddmult,512,1024,524288,17,0,54,400,5840,14.6,31,160,63332,395.825,0,0,0,0,0,1320,13200,10,1880,20,120,40,15040,1024,40,1,16,5618.1431,6333.2,0,0,16,38842.6587,127.30467
226,basic,vecoddmult,1024,512,524288,17,0,54,400,5840,14.6,31,160,63332,395.825,0,0,0,0,0,1320,13200,10,1880,20,120,40,15040,512,79,1,16,5618.1431,6333.2,0,0,32,38842.6587,131.75473
275,basic,vecoddmult,1280,512,655360,17,0,54,500,7300,14.6,31,200,83566,417.83,0,0,0,0,0,1650,16500,10,2350,25,150,50,23500,512,99,1,20,6245.4792,8356.6,0,0,40,54586.7352,134.87681
267,basic,vecoddmult,2560,256,655360,17,0,54,500,7300,14.6,31,200,83566,417.83,0,0,0,0,0,1650,16500,10,2350,25,150,50,23500,256,197,1,20,6245.4792,8356.6,0,0,80,54586.7352,136.25602
259,basic,vecoddmult,5120,128,655360,17,0,54,500,7300,14.6,31,200,83566,417.83,0,0,0,0,0,1650,16500,10,2350,25,150,50,23500,128,394,1,20,6245.4792,8356.6,0,0,160,54586.7352,137.80233
251,basic,vecoddmult,10240,64,655360,17,0,54,500,7300,14.6,31,200,83566,417.83,0,0,0,0,0,1650,16500,10,2350,25,150,50,23500,64,788,0.5,20,6245.4792,8356.6,0,0,320,54586.7352,120.27955
227,basic,vecoddmult,1024,1024,1048576,17,0,54,780,11388,14.6,31,312,148287,475.2788462,0,0,0,0,0,2574,25740,10,3666,39,234,78,58656,1024,79,1,31,7973.795,15307.0452,0,0,32,106691.3107,129.57851
276,basic,vecoddmult,1280,1024,1310720,17,0,54,980,14308,14.6,31,392,183711,468.6505102,0,0,0,0,0,3234,32340,10,4606,49,294,98,92120,1024,99,1,39,9183.2565,18842.1538,0,0,40,145480.3823,131.17335
268,basic,vecoddmult,2560,512,1310720,17,0,54,980,14308,14.6,31,392,183711,468.6505102,0,0,0,0,0,3234,32340,10,4606,49,294,98,92120,512,197,1,39,9183.2565,18842.1538,0,0,80,145480.3823,136.85308
260,basic,vecoddmult,5120,256,1310720,17,0,54,980,14308,14.6,31,392,183711,468.6505102,0,0,0,0,0,3234,32340,10,4606,49,294,98,92120,256,394,1,39,9183.2565,18842.1538,0,0,160,145480.3823,139.48676
252,basic,vecoddmult,10240,128,1310720,17,0,54,980,14308,14.6,31,392,183711,468.6505102,0,0,0,0,0,3234,32340,10,4606,49,294,98,92120,128,788,1,39,9183.2565,18842.1538,0,0,320,145480.3823,138.09402
269,basic,vecoddmult,2560,1024,2621440,17,0,54,1960,28616,14.6,31,784,450094,574.0994898,0,0,0,0,0,6468,64680,10,9212,95,588,196,368480,1024,197,1,76,14820.0916,47378.3158,0,0,80,360587.1555,132.54298
261,basic,vecoddmult,5120,512,2621440,17,0,54,1960,28616,14.6,31,784,450094,574.0994898,0,0,0,0,0,6468,64680,10,9212,95,588,196,368480,512,394,1,76,14820.0916,47378.3158,0,0,160,360587.1555,139.1979
253,basic,vecoddmult,10240,256,2621440,17,0,54,1960,28616,14.6,31,784,450094,574.0994898,0,0,0,0,0,6468,64680,10,9212,95,588,196,368480,256,788,1,76,14820.0916,47378.3158,0,0,320,360587.1555,139.70342
262,basic,vecoddmult,5120,1024,5242880,17,0,54,3940,57524,14.6,31,1576,904781,574.0996193,0,0,0,0,0,13002,130020,10,18518,197,1182,394,1481440,1024,394,1,151,24866.1083,95870.8344,0,0,160,864019.3422,132.91579
254,basic,vecoddmult,10240,512,5242880,17,0,54,3940,57524,14.6,31,1576,904781,574.0996193,0,0,0,0,0,13002,130020,10,18518,197,1182,394,1481440,512,788,1,151,24866.1083,95870.8344,0,0,320,864019.3422,137.8893
255,basic,vecoddmult,10240,1024,10485760,17,0,54,7880,115048,14.6,31,3152,1809563,574.0999365,0,0,0,0,0,26004,260040,10,37036,394,2364,788,5925760,1024,788,1,301,40447.6972,192378.7907,0,0,320,2124615.022,131.40518
38,BFS,BFSv1_1MW(KernelP4Node,2500,400,1000000,16,0,38,1444,20634,14.28947368,18,418,199181.18,476.51,0,0,0,0,8,4978,49780,10,6840,190,304,114,104370,400,193,0.81,30,9571.9061,20261.7574,0,0,78.125,113547.8701,116.65109
67,BFS,BFSv1_1MW(KernelP4Node,3907,256,1000192,16,0,38,1444,20634,14.28947368,18,418,199179.1503,476.5051443,0,0,0,0,8,4978,49780,10,6840,190,304,114,104390,256,301,1,30,9571.9061,20265.4412,0,0,122.0938,113595.103,69.16224
73,BFS,BFSv1_1MW(KernelP4Node,977,1024,1000448,16,0,38,1444,20634,14.28947368,18,418,199176.4441,476.4986701,0,0,0,0,8,4978,49780,10,6840,190,304,114,104417,1024,76,1,30,9571.9061,20270.3527,0,0,30.5313,113595.103,68.16005
74,BFS,BFSv1_4096(KernelP4Node,4,1024,4096,16,0,38,38,543,14.28947368,18,11,2984.06768,271.27888,0,0,0,0,8,131,1310,10,180,5,8,3,11,1024,1,1,1,3233.6149,37.3008,0,0,0.125,36.7935,62.02207
68,BFS,BFSv1_4096(KernelP4Node,16,256,4096,16,0,38,38,543,14.28947368,18,11,2984.06768,271.27888,0,0,0,0,8,131,1310,10,180,5,8,3,11,256,2,1,1,3233.6149,37.3008,0,0,0.5,36.7935,62.01302
39,BFS,BFSv1_4096(KernelP4Node,11,400,4400,16,0,38,38,543,14.28947368,18,11,3000.052,272.732,0,0,0,0,8,131,1310,10,180,5,8,3,12,400,1,0.81,1,3233.6149,40.2839,0,0,0.3438,40.4728,62.00705
75,BFS,BFSv1_65536(KernelP4Node,64,1024,65536,16,0,38,76,1086,14.28947368,18,22,7013.676877,318.8034944,0,0,0,0,8,262,2620,10,360,10,16,6,360,1024,5,1,3,3412.258,467.5785,0,0,2,1101.8046,62.4201
69,BFS,BFSv1_65536(KernelP4Node,256,256,65536,16,0,38,114,1629,14.28947368,18,33,10520.51532,318.8034944,0,0,0,0,8,393,3930,10,540,15,24,9,540,256,20,1,3,3590.4821,701.3677,0,0,8,1570.67,62.64959
40,BFS,BFSv1_65536(KernelP4Node,164,400,65600,16,0,38,114,1629,14.28947368,18,33,10520.86992,318.81424,0,0,0,0,8,393,3930,10,540,15,24,9,541,400,13,0.81,3,3590.4821,702.0763,0,0,5.125,1570.67,62.91896
64,BFS,BFSv2_1MW (Kernel2,3907,256,1000192,11,0,15,570,9614,16.86666667,10,608,289715.1277,476.5051443,0,0,0,0,3,2014,20140,10,3192,76,38,152,48715,256,301,1,30,12347.5101,29477.0053,0,0,122.0938,128087.2634,69.96515
44,BFS,BFSv2_1MW (Kernel2,1667,600,1000200,11,0,15,570,9614,16.86666667,10,608,289715.0047,476.504942,0,0,0,0,3,2014,20140,10,3192,76,38,152,48716,600,129,0.89,30,12347.5101,29477.2286,0,0,52.0938,128087.2634,68.80121
70,BFS,BFSv2_1MW (Kernel2,977,1024,1000448,11,0,15,570,9614,16.86666667,10,608,289711.1914,476.4986701,0,0,0,0,8,2014,20140,10,3192,76,38,152,48728,1024,76,1,30,12347.5101,29484.1494,0,0,30.5313,128087.2634,68.73244
71,BFS,BFSv2_4096 (Kernel2,4,1024,4096,11,0,15,15,253,16.86666667,10,16,4340.46208,271.27888,0,0,0,0,3,53,530,10,84,2,1,4,5,1024,1,1,1,3314.8683,54.2558,0,0,0.125,52.206,62.02544
65,BFS,BFSv2_4096 (Kernel2,16,256,4096,11,0,15,15,253,16.86666667,10,16,4340.46208,271.27888,0,0,0,0,3,53,530,10,84,2,1,4,5,256,2,1,1,3314.8683,54.2558,0,0,0.5,52.206,61.78494
45,BFS,BFSv2_4096 (Kernel2,7,600,4200,11,0,15,15,253,16.86666667,10,16,4348.416,271.776,0,0,0,0,3,53,530,10,84,2,1,4,5,600,1,0.89,1,3314.8683,55.7353,0,0,0.2188,57.4266,61.81829
72,BFS,BFSv2_65536 (Kernel2,64,1024,65536,11,0,15,30,506,16.86666667,10,32,10201.71182,318.8034944,0,0,0,0,3,106,1060,10,168,4,2,8,168,1024,5,1,3,3574.2972,680.1141,0,0,2,1529.9706,62.89381
66,BFS,BFSv2_65536 (Kernel2,256,256,65536,11,0,15,45,759,16.86666667,10,48,15302.56773,318.8034944,0,0,0,0,3,159,1590,10,252,6,3,12,252,256,20,1,3,3832.8417,1020.1712,0,0,8,2140.1495,62.54889
46,BFS,BFSv2_65536 (Kernel2,110,600,66000,11,0,15,45,759,16.86666667,10,48,15306.3072,318.8814,0,0,0,0,3,159,1590,10,252,6,3,12,254,600,9,0.89,3,3832.8417,1027.6451,0,0,3.4375,2153.6948,62.51519
27,Binomial Options,BinomOpt,1024,128,131072,49,516,307,49135,449175,9.141650555,1,5,1649.034944,329.8069888,1,1405,50580,36,8,6520,65200,10,57065,15,0,5,5,128,79,0.56,5,3135.9963,131.9228,64184.6191,15852.1278,32,544.9394,58.588
277,Binomial Options,BinomOpt,1024,256,262144,32,1024,307,98270,898350,9.141650555,1,10,3518.139776,351.8139776,1,2810,101160,36,8,13040,130400,10,114130,30,0,10,456520,256,79,1,9,3217.3538,312.7235,129616.3799,31399.2039,32,2121.2762,48.503
278,Binomial Options,BinomOpt,1024,512,524288,22,2048,307,196540,1796700,9.141650555,1,20,7916.559104,395.8279552,1,5620,202320,36,8,26080,260800,10,228260,60,0,20,1826080,512,79,1,16,3379.8086,791.6559,264269.3165,61601.569,32,8070.8571,74.0975
279,Binomial Options,BinomOpt,1024,1024,1048576,14,4096,307,383253,3503565,9.141650555,1,39,18535.97901,475.281513,1,10959,394524,36,8,50856,508560,10,445107,117,0,39,7121712,1024,79,1,31,3687.5191,1913.3914,548029.8914,115850.7569,32,28838.3134,66.527
