Sr No.,Benchmark,Kernel Name,,C/M,grid_size,block_size,Total Threads,reg_thread,shmem_block,comp_inst_kernel,comp_inst_sm,comp_lat_sm,avg_comp_lat,glob_inst_kernel,glob_inst_sm,glob_lat_sm,avg_glob_lat,shar_inst_kernel,shar_inst_sm,shar_lat_sm,avg_shar_lat,misc_inst_kernel,misc_inst_sm,misc_lat_sm,avg_misc_lat,total_inst,branch,glob_load_sm,glob_store_sm,inst_issue_cycles,sm_active,waves,occupancy,wtotal,Global_Throughput,cache_penalty,sh_penalty,sh_throughput,n_warps,glb_penalty,Power,inst_issue_cycle
56,basic,vecoddmult,,,256,512,131072.0000,17,0,54,100,1460,14.6,31,40,13192,329.8,0,0,0,0,0,330,3300,10,470,5,30,10,940,512,20,1.0000,5.0000,3703.6798,1055.3600,0.0000,0.0000,8.0000,3691.3083,118.9508,
57,basic,vecoddmult,,,512,256,131072.0000,17,0,54,100,1460,14.6,31,40,13192,329.8,0,0,0,0,0,330,3300,10,470,5,30,10,940,256,40,1.0000,5.0000,3703.6798,1055.3600,0.0000,0.0000,16.0000,3691.3083,120.24816,
58,basic,vecoddmult,,,1024,128,131072.0000,17,0,54,100,1460,14.6,31,40,13192,329.8,0,0,0,0,0,330,3300,10,470,5,30,10,940,128,79,1.0000,5.0000,3703.6798,1055.3600,0.0000,0.0000,32.0000,3691.3083,121.46859,
59,basic,vecoddmult,,,1280,128,163840.0000,17,0,54,140,2044,14.6,31,56,18777,335.3035714,0,0,0,0,0,462,4620,10,658,5,30,10,1645,128,99,1.0000,6.0000,3961.7833,1564.7500,0.0000,0.0000,40.0000,6023.6567,125.07076,
60,basic,vecoddmult,,,2560,64,163840.0000,17,0,54,140,2044,14.6,31,56,18777,335.3035714,0,0,0,0,0,462,4620,10,658,5,30,10,1645,64,197,0.5,6.0000,3961.7833,1564.7500,0.0000,0.0000,80.0000,6023.6567,114.09281,
61,basic,vecoddmult,,,5120,32,163840.0000,17,0,54,140,2044,14.6,31,56,18777,335.3035714,0,0,0,0,0,462,4620,10,658,5,30,10,1645,32,394,0.25,6.0000,3961.7833,1564.7500,0.0000,0.0000,160.0000,6023.6567,99.13318,
62,basic,vecoddmult,,,10240,16,163840.0000,17,0,54,140,2044,14.6,31,56,18777,335.3035714,0,0,0,0,0,462,4620,10,658,5,30,10,1645,16,788,0.25,6.0000,3961.7833,1564.7500,0.0000,0.0000,320.0000,6023.6567,91.217,
63,basic,vecoddmult,,,256,1024,262144.0000,17,0,54,200,2920,14.6,31,80,28145,351.8125,0,0,0,0,0,660,6600,10,940,10,20,20,3760,1024,20,1.0000,9.0000,4347.2897,2501.7778,0.0000,0.0000,8.0000,12559.3580,122.64322,
64,basic,vecoddmult,,,512,512,262144.0000,17,0,54,200,2920,14.6,31,80,28145,351.8125,0,0,0,0,0,660,6600,10,940,10,20,20,3760,512,40,1.0000,9.0000,4347.2897,2501.7778,0.0000,0.0000,16.0000,12559.3580,127.41226,
65,basic,vecoddmult,,,1024,256,262144.0000,17,0,54,200,2920,14.6,31,80,28145,351.8125,0,0,0,0,0,660,6600,10,940,10,20,20,3760,256,79,1.0000,9.0000,4347.2897,2501.7778,0.0000,0.0000,32.0000,12559.3580,129.28946,
66,basic,vecoddmult,,,1280,256,327680.0000,17,0,54,260,3796,14.6,31,104,37733,362.8173077,0,0,0,0,0,858,8580,10,1222,13,78,26,6110,256,99,1.0000,10.0000,4730.8266,3773.3000,0.0000,0.0000,40.0000,18736.5317,131.30484,
67,basic,vecoddmult,,,2560,128,327680.0000,17,0,54,260,3796,14.6,31,104,37733,362.8173077,0,0,0,0,0,858,8580,10,1222,13,78,26,6110,128,197,1.0000,10.0000,4730.8266,3773.3000,0.0000,0.0000,80.0000,18736.5317,132.55284,
68,basic,vecoddmult,,,5120,64,327680.0000,17,0,54,260,3796,14.6,31,104,37733,362.8173077,0,0,0,0,0,858,8580,10,1222,13,78,26,6110,64,394,0.5,10.0000,4730.8266,3773.3000,0.0000,0.0000,160.0000,18736.5317,119.204,
69,basic,vecoddmult,,,10240,32,327680.0000,17,0,54,260,3796,14.6,31,104,37733,362.8173077,0,0,0,0,0,858,8580,10,1222,13,78,26,6110,32,788,0.25,10.0000,4730.8266,3773.3000,0.0000,0.0000,320.0000,18736.5317,99.13749,
70,basic,vecoddmult,,,512,1024,524288.0000,17,0,54,400,5840,14.6,31,160,63332,395.825,0,0,0,0,0,1320,13200,10,1880,20,120,40,15040,1024,40,1.0000,16.0000,5618.1431,6333.2000,0.0000,0.0000,16.0000,38842.6587,127.30467,
71,basic,vecoddmult,,,1024,512,524288.0000,17,0,54,400,5840,14.6,31,160,63332,395.825,0,0,0,0,0,1320,13200,10,1880,20,120,40,15040,512,79,1.0000,16.0000,5618.1431,6333.2000,0.0000,0.0000,32.0000,38842.6587,131.75473,
72,basic,vecoddmult,,,1280,512,655360.0000,17,0,54,500,7300,14.6,31,200,83566,417.83,0,0,0,0,0,1650,16500,10,2350,25,150,50,23500,512,99,1.0000,20.0000,6245.4792,8356.6000,0.0000,0.0000,40.0000,54586.7352,134.87681,
73,basic,vecoddmult,,,2560,256,655360.0000,17,0,54,500,7300,14.6,31,200,83566,417.83,0,0,0,0,0,1650,16500,10,2350,25,150,50,23500,256,197,1.0000,20.0000,6245.4792,8356.6000,0.0000,0.0000,80.0000,54586.7352,136.25602,
74,basic,vecoddmult,,,5120,128,655360.0000,17,0,54,500,7300,14.6,31,200,83566,417.83,0,0,0,0,0,1650,16500,10,2350,25,150,50,23500,128,394,1.0000,20.0000,6245.4792,8356.6000,0.0000,0.0000,160.0000,54586.7352,137.80233,
75,basic,vecoddmult,,,10240,64,655360.0000,17,0,54,500,7300,14.6,31,200,83566,417.83,0,0,0,0,0,1650,16500,10,2350,25,150,50,23500,64,788,0.5,20.0000,6245.4792,8356.6000,0.0000,0.0000,320.0000,54586.7352,120.27955,
76,basic,vecoddmult,,,1024,1024,1048576.0000,17,0,54,780,11388,14.6,31,312,148287,475.2788462,0,0,0,0,0,2574,25740,10,3666,39,234,78,58656,1024,79,1.0000,31.0000,7973.7950,15307.0452,0.0000,0.0000,32.0000,106691.3107,129.57851,
77,basic,vecoddmult,,,1280,1024,1310720.0000,17,0,54,980,14308,14.6,31,392,183711,468.6505102,0,0,0,0,0,3234,32340,10,4606,49,294,98,92120,1024,99,1.0000,39.0000,9183.2565,18842.1538,0.0000,0.0000,40.0000,145480.3823,131.17335,
78,basic,vecoddmult,,,2560,512,1310720.0000,17,0,54,980,14308,14.6,31,392,183711,468.6505102,0,0,0,0,0,3234,32340,10,4606,49,294,98,92120,512,197,1.0000,39.0000,9183.2565,18842.1538,0.0000,0.0000,80.0000,145480.3823,136.85308,
79,basic,vecoddmult,,,5120,256,1310720.0000,17,0,54,980,14308,14.6,31,392,183711,468.6505102,0,0,0,0,0,3234,32340,10,4606,49,294,98,92120,256,394,1.0000,39.0000,9183.2565,18842.1538,0.0000,0.0000,160.0000,145480.3823,139.48676,
80,basic,vecoddmult,,,10240,128,1310720.0000,17,0,54,980,14308,14.6,31,392,183711,468.6505102,0,0,0,0,0,3234,32340,10,4606,49,294,98,92120,128,788,1.0000,39.0000,9183.2565,18842.1538,0.0000,0.0000,320.0000,145480.3823,138.09402,
81,basic,vecoddmult,,,2560,1024,2621440.0000,17,0,54,1960,28616,14.6,31,784,450094,574.0994898,0,0,0,0,0,6468,64680,10,9212,95,588,196,368480,1024,197,1.0000,76.0000,14820.0916,47378.3158,0.0000,0.0000,80.0000,360587.1555,132.54298,
82,basic,vecoddmult,,,5120,512,2621440.0000,17,0,54,1960,28616,14.6,31,784,450094,574.0994898,0,0,0,0,0,6468,64680,10,9212,95,588,196,368480,512,394,1.0000,76.0000,14820.0916,47378.3158,0.0000,0.0000,160.0000,360587.1555,139.1979,
